threshold,p.value,estimate,data_type,corpus
0.01,  NA,    NA,target,French
0.02,  NA,    NA,target,French
0.03,  NA,    NA,target,French
0.04,0.84,-0.009,target,French
0.05,0.23,-0.048,target,French
0.06,0.77,-0.012,target,French
0.07,0.79,-0.010,target,French
0.08,0.41,-0.031,target,French
0.09,0.54,-0.023,target,French
0.1,0.95, 0.002,target,French
0.11,0.37,-0.029,target,French
0.12,0.86,-0.005,target,French
0.13,0.81,-0.008,target,French
0.14,0.54,-0.019,target,French
0.15,0.38,-0.026,target,French
0.16,0.64,-0.014,target,French
0.17,0.59,-0.016,target,French
0.18,0.56,-0.017,target,French
0.19,0.70,-0.011,target,French
0.2,0.76,-0.009,target,French
0.21,0.82,-0.006,target,French
0.22,0.55,-0.017,target,French
0.23,0.51,-0.019,target,French
0.24,0.67,-0.012,target,French
0.25,0.57,-0.016,target,French
0.26,0.49,-0.020,target,French
0.27,0.55,-0.017,target,French
0.28,0.53,-0.018,target,French
0.29,0.60,-0.015,target,French
0.3,0.74,-0.009,target,French
0.31,0.82,-0.006,target,French
0.32,0.94,-0.002,target,French
0.33,0.98, 0.001,target,French
0.34,0.98, 0.001,target,French
0.35,0.99, 0.000,target,French
0.36,0.87,-0.005,target,French
0.37,0.85,-0.005,target,French
0.38,0.78,-0.008,target,French
0.39,0.75,-0.009,target,French
0.4,0.80,-0.007,target,French
0.41,0.88,-0.004,target,French
0.42,0.93,-0.003,target,French
0.43,1.00, 0.000,target,French
0.44,0.97, 0.001,target,French
0.45,0.92, 0.003,target,French
0.46,0.92, 0.003,target,French
0.47,0.95, 0.002,target,French
0.48,0.94,-0.002,target,French
0.49,0.87,-0.005,target,French
0.5,0.85,-0.005,target,French
0.51,0.86,-0.005,target,French
0.52,0.87,-0.005,target,French
0.53,0.87,-0.005,target,French
0.54,0.89,-0.004,target,French
0.55,0.86,-0.005,target,French
0.56,0.87,-0.005,target,French
0.57,0.81,-0.007,target,French
0.58,0.83,-0.006,target,French
0.59,0.81,-0.007,target,French
0.6,0.79,-0.008,target,French
0.61,0.73,-0.010,target,French
0.62,0.71,-0.010,target,French
0.63,0.67,-0.012,target,French
0.64,0.66,-0.012,target,French
0.65,0.66,-0.012,target,French
0.66,0.64,-0.013,target,French
0.67,0.62,-0.014,target,French
0.68,0.61,-0.014,target,French
0.69,0.60,-0.015,target,French
0.7,0.57,-0.016,target,French
0.71,0.56,-0.016,target,French
0.72,0.53,-0.017,target,French
0.73,0.52,-0.018,target,French
0.74,0.52,-0.018,target,French
0.75,0.52,-0.018,target,French
0.76,0.51,-0.018,target,French
0.77,0.50,-0.019,target,French
0.78,0.50,-0.019,target,French
0.79,0.50,-0.019,target,French
0.8,0.49,-0.019,target,French
0.81,0.49,-0.019,target,French
0.82,0.48,-0.020,target,French
0.83,0.47,-0.020,target,French
0.84,0.46,-0.020,target,French
0.85,0.45,-0.021,target,French
0.86,0.45,-0.021,target,French
0.87,0.45,-0.021,target,French
0.88,0.45,-0.021,target,French
0.89,0.45,-0.021,target,French
0.9,0.45,-0.021,target,French
0.91,0.45,-0.021,target,French
0.92,0.45,-0.021,target,French
0.93,0.45,-0.021,target,French
0.94,0.45,-0.021,target,French
0.95,0.45,-0.021,target,French
0.96,0.45,-0.021,target,French
0.97,0.45,-0.021,target,French
0.98,0.45,-0.021,target,French
0.99,0.45,-0.021,target,French
1,0.45,-0.021,target,French
0.01,0.55, 0.027,actual,French
0.02,0.01, 0.120,actual,French
0.03,0.00, 0.139,actual,French
0.04,0.01, 0.110,actual,French
0.05,0.11, 0.062,actual,French
0.06,0.22, 0.046,actual,French
0.07,0.19, 0.047,actual,French
0.08,0.16, 0.049,actual,French
0.09,0.47, 0.024,actual,French
0.1,0.49,-0.022,actual,French
0.11,0.33,-0.030,actual,French
0.12,0.38,-0.026,actual,French
0.13,0.29,-0.032,actual,French
0.14,0.32,-0.029,actual,French
0.15,0.33,-0.029,actual,French
0.16,0.16,-0.041,actual,French
0.17,0.15,-0.041,actual,French
0.18,0.20,-0.037,actual,French
0.19,0.30,-0.029,actual,French
0.2,0.26,-0.032,actual,French
0.21,0.18,-0.038,actual,French
0.22,0.20,-0.036,actual,French
0.23,0.13,-0.042,actual,French
0.24,0.07,-0.051,actual,French
0.25,0.07,-0.051,actual,French
0.26,0.09,-0.047,actual,French
0.27,0.07,-0.051,actual,French
0.28,0.05,-0.054,actual,French
0.29,0.05,-0.054,actual,French
0.3,0.05,-0.054,actual,French
0.31,0.06,-0.053,actual,French
0.32,0.09,-0.048,actual,French
0.33,0.16,-0.039,actual,French
0.34,0.15,-0.040,actual,French
0.35,0.12,-0.044,actual,French
0.36,0.11,-0.044,actual,French
0.37,0.11,-0.045,actual,French
0.38,0.13,-0.043,actual,French
0.39,0.13,-0.042,actual,French
0.4,0.15,-0.040,actual,French
0.41,0.18,-0.037,actual,French
0.42,0.21,-0.035,actual,French
