"downloaded","item_id","item_definition","category","8","9","11","12","13","14","15","16"
2023-12-01,36,"aïe","sounds",0.15,0.25,0.21,0.38,0.41,0.38,0.5,0.6
2023-12-01,37,"allô","sounds",0.09,0,0.29,0.5,0.52,0.54,1,0.4
2023-12-01,38,"bêe bêe","sounds",0.09,0,0.29,0.19,0.3,0.17,1,0.8
2023-12-01,39,"cocorico","sounds",0.06,0,0.11,0.19,0.2,0.08,0.5,0
2023-12-01,40,"coin-coin","sounds",0.04,0,0.14,0.08,0.22,0.04,0.5,0.6
2023-12-01,41,"grrrr","sounds",0.09,0,0.14,0.12,0.2,0.33,0.5,0.2
2023-12-01,42,"meuh","sounds",0.13,0,0.29,0.12,0.35,0.25,1,0.4
2023-12-01,43,"miam-miam","sounds",0.11,0,0.36,0.35,0.41,0.33,1,0.2
2023-12-01,44,"miaou","sounds",0.13,0,0.39,0.23,0.51,0.67,1,0.8
2023-12-01,45,"ohoh","sounds",0.06,0,0.21,0.35,0.19,0.33,0.5,0.4
2023-12-01,46,"ouaf-ouaf","sounds",0.06,0,0.32,0.19,0.47,0.42,0.5,0.8
2023-12-01,47,"tchou tchou","sounds",0.02,0,0.11,0.08,0.21,0.08,1,0.4
2023-12-01,48,"vroum","sounds",0.21,0,0.21,0.31,0.31,0.12,1,0
2023-12-01,49,"ainsi font font","games_routines",0.36,0.25,0.61,0.69,0.56,0.42,0.5,0.6
2023-12-01,50,"attends","games_routines",0.17,0,0.39,0.5,0.24,0.04,0.5,0.8
2023-12-01,51,"au revoir","games_routines",0.32,0.25,0.75,0.58,0.74,0.75,0.5,1
2023-12-01,52,"bain","games_routines",0.3,0,0.54,0.5,0.67,0.71,0.5,0.6
2023-12-01,53,"bonjour","games_routines",0.32,0,0.46,0.5,0.57,0.54,1,0.8
2023-12-01,54,"bonne nuit","games_routines",0.23,0.75,0.57,0.42,0.59,0.54,0.5,0.8
2023-12-01,55,"bravo","games_routines",0.34,0.5,0.86,0.73,0.76,0.75,1,0.8
2023-12-01,56,"chut","games_routines",0.19,0.25,0.32,0.27,0.37,0.25,0.5,0.6
2023-12-01,57,"coucou","games_routines",0.45,0.75,0.79,0.42,0.58,0.75,1,0.4
2023-12-01,58,"déjeuner","games_routines",0,0,0.07,0.08,0.22,0.04,0.5,0.2
2023-12-01,59,"dîner","games_routines",0.04,0,0.14,0.27,0.22,0.08,0.5,0
2023-12-01,60,"merci","games_routines",0.06,0.25,0.46,0.27,0.44,0.54,0.5,0.2
2023-12-01,61,"ne fais pas","games_routines",0.02,0.25,0.36,0.38,0.34,0.25,0.5,0.4
2023-12-01,62,"non","games_routines",0.47,0.25,0.79,0.73,0.76,0.79,1,0.4
2023-12-01,63,"oui","games_routines",0.3,0.25,0.64,0.46,0.56,0.58,1,0.8
2023-12-01,64,"petit déjeuner","games_routines",0,0,0.07,0.08,0.16,0.17,0.5,0.2
